Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
Apple Inc.,AAPL,3783310,2046251,7.110275,Information Technology,163874670,USD
Microsoft Corporation,MSFT,59491810,2588173,6.065087,Information Technology,82019920,USD
Amazon.com Inc.,AMZN,2313510,2000019,2.73804,Consumer Discretionary,98231640,USD
NVIDIA Corporation,NVDA,67066G10,2379504,1.923625,Information Technology,27105582,USD
Alphabet Inc. Class A,GOOGL,02079K30,BYVY8G0,1.825088,Communication Services,65626300,USD
Berkshire Hathaway Inc. Class B,BRK.B,8467070,2073390,1.698712,Financials,19852384,USD
Alphabet Inc. Class C,GOOG,02079K10,BYY88Y7,1.603189,Communication Services,57209972,USD
Exxon Mobil Corporation,XOM,30231G10,2326618,1.407509,Energy,45374390,USD
Meta Platforms Inc. Class A,META,30303M10,B7TL820,1.369542,Communication Services,24524556,USD
UnitedHealth Group Incorporated,UNH,91324P10,2917766,1.321027,Health Care,10295166,USD
Tesla Inc.,TSLA,88160R10,B616C79,1.264166,Consumer Discretionary,29634272,USD
Johnson & Johnson,JNJ,47816010,2475833,1.237452,Health Care,28807780,USD
JPMorgan Chase & Co.,JPM,46625H10,2190385,1.193646,Financials,32319608,USD
Visa Inc. Class A,V,92826C83,B2PZN04,1.093691,Financials,17904552,USD
Procter & Gamble Company,PG,74271810,2704407,1.066594,Consumer Staples,25994320,USD
Mastercard Incorporated Class A,MA,57636Q10,B121557,0.914251,Financials,9296597,USD
Home Depot Inc.,HD,43707610,2434209,0.888964,Consumer Discretionary,11229804,USD
Chevron Corporation,CVX,16676410,2838555,0.882112,Energy,19601404,USD
Eli Lilly and Company,LLY,53245710,2516152,0.874231,Health Care,8689758,USD
Merck & Co. Inc.,MRK,58933Y10,2778844,0.850013,Health Care,27936340,USD
AbbVie Inc.,ABBV,00287Y10,B92SR70,0.839079,Health Care,19486068,USD
Broadcom Inc.,AVGO,11135F10,BDZ78H9,0.766771,Information Technology,4604516,USD
