,DUK,TGT,FISV,BDX,BSX,SLB,EOG,LRCX,AON,NOC,CME,ITW,EQIX,CSX,ETN,CL,APD,MU,HUM,WM,ATVI,HCA,ICE,EL,CDNS,MMM,MPC,SNPS,ORLY,FCX,SHW,EW,PXD,FDX,CCI,GIS,KLAC,GD,AZO,PNC,DG,CMG,MCK,SRE,MSI,EMR,AEP,NSC,KMB,D
2023 open,103.2,149.98,101.72,262.66,46.48,52.86,128.0,429.72,301.05,544.92,168.27,220.65,663.3,31.08,158.08,78.79,310.06,50.56,508.24,157.41,76.6,241.67,103.62,256.18,162.83,121.52,115.65,323.0,842.43,37.95,240.58,76.01,225.37,174.97,136.91,83.56,384.0,247.85,2441.51,159.65,247.7,1400.3,372.74,154.3,258.29,96.6,94.9,247.11,136.06,61.32
2023 high,106.43,181.70000000000002,122.39,264.44,53.21,62.78,137.95000000000002,548.85,334.76,547.8000000000001,196.3,253.37,762.51,33.04,178.75,80.46000000000001,320.90000000000003,64.42,540.0,167.46,87.01,294.02,111.29,283.62,217.67000000000002,129.9,138.83,392.79,912.0,46.730000000000004,249.92000000000002,88.85000000000001,243.73000000000002,235.81,153.98,88.88,429.46000000000004,251.94,2722.6,169.07,251.0,2047.31,391.49,163.64000000000001,294.54,99.65,98.32000000000001,260.2,147.87,63.940000000000005
2023 low,91.37,144.3,98.81,228.62,44.35,43.82,98.52,407.27,280.89,430.94,166.55,217.85,650.61,27.6,150.86,70.92,263.89,49.550000000000004,471.56,148.31,71.4,239.44,94.16,231.3,154.88,100.16,109.0,312.25,767.27,34.88,205.43,73.54,177.27,174.53,119.82000000000001,74.24,355.88,210.11,2294.75,117.51,201.31,1344.05,331.75,138.56,251.0,79.03,85.21000000000001,196.33,121.97,52.03
2023 close,98.35,155.45,118.38,258.51,51.1,47.78,115.66,497.4,327.36,449.09,184.93,231.37,706.75,30.14,161.92,76.68,285.68,61.02,505.47,163.61,76.81,278.07,104.61,240.84,203.61,102.92,122.53,365.1,894.2,37.28,228.9,87.41,222.48,222.77,120.14,87.88,357.36,214.83,2644.83,127.85,219.26,2009.85,359.24,154.33,287.69,82.48,92.25,201.02,143.61,56.12
2023 volume,235618785.0,248220642.0,278081039.0,85658622.0,661029966.0,758780344.0,294765733.0,103894735.0,66406119.0,81194425.0,143483086.0,82878992.0,30539966.0,1109765017.0,156276866.0,361507400.0,83840719.0,1274882807.0,83294500.0,143853919.0,562907071.0,105504595.0,209275302.0,111304081.0,137107595.0,278842356.0,303155616.0,59969894.0,34465913.0,1021676964.0,123718769.0,268791096.0,200552656.0,164805043.0,158766134.0,266754142.0,88520945.0,94976225.0,11964564.0,290232537.0,155742968.0,23603187.0,75841945.0,103919366.0,53427244.0,288644165.0,222419697.0,131608564.0,135938970.0,364059297.0
2022 open,104.91,231.07,103.86,243.96,42.59,30.07,88.33,721.13,300.18,386.95,229.13,247.3,845.68,37.46,173.39,84.55,304.52,93.91,461.38,166.47,66.44,256.68,136.53,368.49,185.68,178.32,64.44,367.13,703.76,41.48,348.48,129.07,180.69,259.8,209.0,67.2,431.14,209.0,2077.49,204.6,234.32,1740.0,247.54,132.5,271.3,93.3,88.63,298.5,141.88,78.66
2022 high,116.33,254.87,110.99000000000001,277.29,47.95,56.04,150.88,731.85,341.98,556.27,256.94,249.81,847.71,38.63,173.39000000000001,85.61,328.56,98.45,571.3000000000001,175.98,86.9,279.02,137.4,374.2,194.97,181.78,127.62,391.17,870.9200000000001,51.99,350.39,131.1,288.46,266.79,209.0,88.34,457.12,256.86,2610.05,228.14000000000001,262.21,1754.56,401.78000000000003,176.47,275.16,100.0,105.60000000000001,298.99,145.79,88.78
2022 low,83.76,137.16,87.03,215.9,34.980000000000004,29.98,88.29,299.59000000000003,246.21,364.62,166.58,173.52,494.89,25.8,122.5,67.84,216.24,48.43,351.2,138.58,61.99,164.47,88.60000000000001,186.47,132.32,107.07000000000001,64.27,255.02,562.9,24.8,195.24,67.13,179.8,141.92000000000002,121.71000000000001,61.67,250.20000000000002,200.65,1703.32,143.52,183.25,1196.28,237.61,129.69,195.18,72.41,80.3,203.65,108.74000000000001,57.18
2022 close,102.99,149.04,101.07,254.3,46.27,53.46,129.52,420.3,300.14,545.61,168.16,220.3,655.03,30.98,156.95,78.79,308.26,49.98,512.19,156.88,76.55,239.96,102.59,248.11,160.64,119.92,116.39,319.29,844.03,38.0,237.33,74.61,228.39,173.2,135.64,83.85,377.03,248.11,2466.18,157.94,246.25,1387.49,375.12,154.54,257.71,96.06,94.95,246.42,135.75,61.32
2022 volume,735060680.0,1191343037.0,912176842.0,309911691.0,1973721368.0,3547913974.0,1048827815.0,394638474.0,247774317.0,223973390.0,428328443.0,280860376.0,118609532.0,3988962133.0,479473174.0,1183679471.0,297068254.0,4850275981.0,256659676.0,450225598.0,1858830500.0,412775448.0,723960833.0,416301260.0,433070135.0,1199278704.0,1401596365.0,251047359.0,135314419.0,4492209223.0,410414694.0,830492152.0,628262647.0,705234319.0,482047721.0,957831465.0,387024346.0,312887248.0,43148374.0,536724459.0,489056810.0,71893013.0,276895461.0,377541976.0,204831221.0,793579557.0,755091411.0,333077979.0,436720888.0,996433422.0
