,F,DXCM,MCO,ROP,PSX,MAR,VLO,APH,USB
2023 open,11.82,114.3,283.5,435.81,103.4,149.85,125.75,76.71,44.2
2023 high,14.6,125.32000000000001,335.91,453.43,111.84,181.55,160.16,82.5,49.95
2023 low,11.120000000000001,102.5,274.81,416.78000000000003,90.66,147.1,115.81,72.0,31.26
2023 close,11.54,124.93,304.92,431.05,99.27,165.12,116.64,73.91,31.52
2023 volume,5037831426.0,181949654.0,65521377.0,43506014.0,284390394.0,141779224.0,337210783.0,198708999.0,1084351969.0
2022 open,21.27,132.95,391.74,491.02,72.89,165.07,75.8,87.8,56.08
2022 high,25.87,134.76,392.53000000000003,492.35,113.53,195.9,146.81,88.0,63.57
2022 low,10.61,66.89,230.16,356.22,72.89,131.01,75.04,61.67,38.39
2022 close,11.63,113.24,278.62,432.09,104.08,148.89,126.86,76.14,43.61
2022 volume,18242294291.0,485257307.0,220560759.0,136742316.0,966746266.0,563030512.0,1143451144.0,589428693.0,2069110990.0
2021 open,8.81,91.52,293.5,429.92,70.61,131.51,57.03,65.46,46.69
2021 high,21.490000000000002,164.86,407.94,505.0,94.34,171.68,84.95,88.45,63.01
2021 low,8.43,79.61,261.38,365.23,63.190000000000005,115.5,54.78,58.58,42.47
2021 close,20.77,134.24,390.58,491.86,72.46,165.24,75.11,87.46,56.17
2021 volume,19692811530.0,183972726.0,164572953.0,112880064.0,761615050.0,559715354.0,977922596.0,558121553.0,1558619725.0
2020 open,9.29,54.64,238.68,353.93,112.08,151.5,94.63,54.2,59.47
2020 high,9.5,114.06,305.96,455.72,113.18,152.6,98.03,67.84,59.480000000000004
2020 low,3.96,45.52,164.19,240.0,40.04,46.56,31.0,31.53,28.36
2020 close,8.79,92.43,290.24,431.09,69.94,131.92,56.57,65.39,46.59
2020 volume,19411951834.0,308820434.0,221324536.0,140177471.0,960429830.0,1038408043.0,1262240242.0,402011306.0,2065808999.0
2019 open,7.53,29.25,137.42,262.9,85.32,106.72,73.82,39.84,45.22
2019 high,10.56,58.0,240.31,385.51,119.92,153.39000000000001,101.99000000000001,54.660000000000004,61.11
2019 low,7.48,26.86,135.92000000000002,257.89,80.24,101.57000000000001,69.44,37.480000000000004,45.050000000000004
2019 close,9.3,54.69,237.41,354.23,111.41,151.43,93.65,54.12,59.29
2019 volume,9660688374.0,280487885.0,210466421.0,116279289.0,648328972.0,431521898.0,853967744.0,325570188.0,1455589853.0
2018 open,12.52,14.41,147.96,260.44,101.66,135.89,92.19,44.24,54.05
2018 high,13.48,38.03,187.98,312.65000000000003,123.97,149.21,126.98,48.78,58.5
2018 low,7.41,12.76,129.26,245.59,78.44,100.62,68.81,37.56,43.14
2018 close,7.65,29.95,140.04,266.52,86.15,108.56,74.97,40.51,45.7
2018 volume,11088744948.0,310293026.0,229747099.0,117700251.0,645750932.0,550068198.0,902126059.0,352674828.0,1833752223.0
2017 open,12.2,14.88,95.01,184.82,87.31,83.35,69.55,33.78,51.62
2017 high,13.27,22.2,153.86,267.83,102.43,137.6,93.18,45.63,56.61
2017 low,10.47,10.66,93.51,183.74,75.14,81.04,60.69,33.0,49.54
2017 close,12.49,14.35,147.61,259.0,101.15,135.73,91.91,43.9,53.58
2017 volume,9293221420.0,360371883.0,207975185.0,107599278.0,544552963.0,616735493.0,997737639.0,286126701.0,1506199270.0
2016 open,13.87,20.07,98.44,186.38,81.21,65.93,70.38,25.54,41.75
2016 high,14.22,24.1,110.83,189.44,90.87,86.15,72.49,34.6,52.68
2016 low,11.02,11.98,77.76,155.79,71.74,56.43,46.88,22.25,37.07
2016 close,12.13,14.93,94.27,183.08,86.41,82.68,68.32,33.6,51.37
2016 volume,8973510424.0,253068547.0,293503902.0,147280409.0,753246740.0,975755163.0,1522832828.0,350512985.0,1886560625.0
2015 open,15.59,13.78,96.54,156.66,71.61,78.38,49.55,27.02,45.43
2015 high,16.740000000000002,25.82,113.87,195.93,94.12,85.0,73.88,30.27,46.26
2015 low,10.44,13.33,85.5,144.62,57.33,63.95,43.45,23.72,38.81
2015 close,14.09,20.48,100.34,189.79,81.8,67.04,70.71,26.12,42.67
2015 volume,6991073244.0,211801138.0,261752726.0,106139186.0,926633138.0,584998172.0,1685730897.0,286784294.0,1757437434.0
2014 open,15.42,8.81,77.86,138.53,77.17,49.03,50.14,22.18,39.87
2014 high,18.12,14.58,102.24000000000001,160.88,87.98,79.25,59.69,27.830000000000002,46.1
2014 low,13.26,7.0200000000000005,72.57000000000001,126.75,64.02,47.21,42.53,21.03,38.1
2014 close,15.5,13.76,95.81,156.35,71.7,78.03,49.5,26.91,44.95
2014 volume,7868375584.0,195769403.0,258716682.0,106218193.0,939713357.0,598755182.0,1925839938.0,187884393.0,1702810010.0
